ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2003-01-08,28.807161230876154,13.177731764963008,18.34232871732057,28.807161230876154,28.807161230876154,-12.95551185117997,-12.95551185117997,-12.95551185117997,-0.02045466321898043,-0.02045466321898043,-0.02045466321898043,-12.93505718796099,-12.93505718796099,-12.93505718796099,0.0,0.0,0.0,15.851649379696184
2003-01-09,28.807035711690435,13.516651678481692,18.52281746561094,28.807035711690435,28.807035711690435,-12.89890421467833,-12.89890421467833,-12.89890421467833,-0.004822746917995515,-0.004822746917995515,-0.004822746917995515,-12.894081467760335,-12.894081467760335,-12.894081467760335,0.0,0.0,0.0,15.908131497012105
2003-01-10,28.806910192504713,13.228008059857723,18.534304172342505,28.806910192504713,28.806910192504713,-12.857712149715145,-12.857712149715145,-12.857712149715145,-0.008750817577216524,-0.008750817577216524,-0.008750817577216524,-12.848961332137927,-12.848961332137927,-12.848961332137927,0.0,0.0,0.0,15.949198042789568
2003-01-11,28.806784673318997,13.395822544379943,18.569496723373202,28.806784673318997,28.806784673318997,-12.792285092511834,-12.792285092511834,-12.792285092511834,0.008322986368037737,0.008322986368037737,0.008322986368037737,-12.800608078879872,-12.800608078879872,-12.800608078879872,0.0,0.0,0.0,16.01449958080716
2003-01-12,28.80665915413328,13.46667688789691,18.559481460143733,28.80665915413328,28.80665915413328,-12.7274786252709,-12.7274786252709,-12.7274786252709,0.02233427983535776,0.02233427983535776,0.02233427983535776,-12.749812905106257,-12.749812905106257,-12.749812905106257,0.0,0.0,0.0,16.07918052886238
2003-01-13,28.806533634947556,13.667359010918597,18.60175811540552,28.806533634947556,28.806533634947556,-12.671161803964711,-12.671161803964711,-12.671161803964711,0.02606539290650648,0.02606539290650648,0.02606539290650648,-12.69722719687122,-12.69722719687122,-12.69722719687122,0.0,0.0,0.0,16.135371830982844
2003-01-14,28.80640811576184,13.355304773825022,18.761722642528206,28.80640811576184,28.80640811576184,-12.666041567842313,-12.666041567842313,-12.666041567842313,-0.02269443139575919,-0.02269443139575919,-0.02269443139575919,-12.643347136446554,-12.643347136446554,-12.643347136446554,0.0,0.0,0.0,16.140366547919527
2003-01-15,28.80628259657612,13.601226147952332,18.80247463942251,28.80628259657612,28.80628259657612,-12.60895769534604,-12.60895769534604,-12.60895769534604,-0.02045466321897902,-0.02045466321897902,-0.02045466321897902,-12.588503032127061,-12.588503032127061,-12.588503032127061,0.0,0.0,0.0,16.197324901230083
2003-01-16,28.8061570773904,13.519814543987945,18.902938144949545,28.8061570773904,28.8061570773904,-12.537676387405375,-12.537676387405375,-12.537676387405375,-0.004822746917977264,-0.004822746917977264,-0.004822746917977264,-12.5328536404874,-12.5328536404874,-12.5328536404874,0.0,0.0,0.0,16.268480689985026
2003-01-17,28.806031558204683,13.82581409949886,19.217301654651493,28.806031558204683,28.806031558204683,-12.485136426432275,-12.485136426432275,-12.485136426432275,-0.008750817577208072,-0.008750817577208072,-0.008750817577208072,-12.476385608855068,-12.476385608855068,-12.476385608855068,0.0,0.0,0.0,16.32089513177241
