Date,T2M,temperature_2m_min (°C),rain_sum (mm),humidity at 000 utc %,humidity at 000 utc %,pressure at 1200 utc%,windspeed at 1200utc%
28/06/2022,41,25.5,0,77,31,937.1,0
29/06/2022,41,27,0,74,42,934.4,0
30/06/2022,41.3,29.5,0,76,58,936.5,4
01/07/2022,35.8,24,11.2,96,69,939.3,0
02/07/2022,31,24.2,0,92,52,936.4,4
03/07/2022,35,27,0,89,65,938,4
04/07/2022,34.5,27.3,0,89,53,938.6,0
05/07/2022,35,27.5,0,75,85,939.9,0
06/07/2022,30.2,22,75,96,96,944.2,0
07/07/2022,34.2,25,2.2,96,54,943.2,0
08/07/2022,37,27,0,89,61,938.6,0
09/07/2022,37,21,55.9,92,65,938.2,0
10/07/2022,33,22,2,96,70,940.2,0
11/07/2022,33.5,25.8,0,92,69,942.5,0
12/07/2022,30.2,24.5,14.5,96,60,940.9,0
13/07/2022,33.2,21.8,41.1,96,69,939.1,0
14/07/2022,30.2,21.5,39.6,100,66,941.3,0
15/07/2022,30,22.5,0,96,70,943.4,2
16/07/2022,33.5,23,1,92,42,940.6,0
17/07/2022,36.5,24.3,0,88,70,944.8,0
18/07/2022,33,24.8,0,92,52,940.6,0
19/07/2022,38,24,0,96,53,938.1,0
20/07/2022,38.2,24,2.2,92,73,937.3,2
21/07/2022,32.5,24.3,0.8,96,96,942.9,0
22/07/2022,26,23.4,25.7,96,68,942.9,0
23/07/2022,36,24.5,0,92,89,942.2,0
24/07/2022,31,24.5,37,96,85,942.9,0
25/07/2022,29,25.2,2,96,96,945.9,0
26/07/2022,30,22.5,80.8,100,70,945.4,0
27/07/2022,34.2,24,0,96,79,945,0
28/07/2022,30.3,24.5,2.2,92,100,946.4,0
29/07/2022,30,24.5,3.4,96,69,943.1,0
30/07/2022,30.5,24,25.4,92,70,940.8,0
31/07/2022,31.3,21.5,27,92,70,938,4
01/08/2022,32.5,21.5,32,96,59,941.2,0
02/08/2022,32.2,22,0.4,96,57,941.3,0
03/08/2022,35,24.5,0,92,50,942,0
04/08/2022,35,23,0,88,53,942.3,0
05/08/2022,36.5,23.5,3.3,89,70,940.9,0
06/08/2022,35,25,0,92,64,938.5,0
07/08/2022,34,26,0,92,58,938.5,0
08/08/2022,36,24.8,0,88,59,939.8,0
09/08/2022,36,26,0,92,58,940.3,2
10/08/2022,36.5,26,0,92,61,938,2
11/08/2022,37.2,26,0,89,81,945,6
12/08/2022,32.7,23,9.4,92,58,940,2
13/08/2022,37.5,23.5,0,88,63,938.6,0
14/08/2022,36.5,27.8,0,89,73,941.3,0
15/08/2022,33,22.8,10,92,85,945.7,0
16/08/2022,29,23,20.2,96,77,943.4,4
17/08/2022,35,23.8,18.7,96,75,944.6,0
18/08/2022,30,23.5,0.8,92,60,943.3,2
19/08/2022,34,24,0,96,51,940,0
20/08/2022,36,25.5,0,92,55,941.3,4
21/08/2022,34.2,24.3,0,92,70,942,4
22/08/2022,32.5,25.2,0,92,55,940.2,2
23/08/2022,35,24,0,92,57,942,2
24/08/2022,35.2,22.5,4,96,78,946.6,2
25/08/2022,28.2,22.5,16.3,96,89,946.5,0
26/08/2022,28,23.4,7,92,66,944.3,2
27/08/2022,32.5,23,0,93,64,943.2,4
28/08/2022,33.2,24.5,0,92,52,942.6,0
29/08/2022,35,23.2,0,92,55,946.6,0
30/08/2022,35.2,23.5,0,96,55,947.9,4
31/08/2022,35,23.8,0,96,53,944.8,0
01/09/2022,36,23.9,0,92,53,944.3,0
02/09/2022,36.2,24,0,92,53,944.6,0
03/09/2022,36.5,24,0,92,56,942,2
04/09/2022,36.3,23.8,6,92,75,942.8,2
05/09/2022,30,21.5,21,96,62,945.6,0
06/09/2022,30,21,0,96,56,947.1,0
07/09/2022,34,22.5,0,96,55,947.9,0
08/09/2022,35,24.4,0,92,55,947.6,0
09/09/2022,35.2,24.5,0,92,61,945.9,0
10/09/2022,36,25,0,92,66,947.5,0
11/09/2022,31,23.3,6,96,74,944.8,0
12/09/2022,27,20.5,10,96,58,943.7,2
13/09/2022,32.2,22,0,96,54,943.7,0
14/09/2022,33.2,21.5,0,96,45,943.5,2
15/09/2022,34.2,20.9,0,87,52,941.1,2
16/09/2022,34.2,23,0,88,60,937.7,0
17/09/2022,34,17.5,25,95,63,943.8,0
18/09/2022,32,19,0,95,48,944.6,0
19/09/2022,33,19,0,95,59,946.3,2
20/09/2022,34.2,20.8,0,87,59,945.5,2
21/09/2022,34.2,21.5,0,91,60,944.9,0
22/09/2022,35,23.4,0,92,52,944.6,2
23/09/2022,34,23,0,92,57,942.9,0
24/09/2022,35,21,0,91,66,942,4
25/09/2022,31.2,17.5,34,96,65,945,0
26/09/2022,30.5,21.5,0,96,60,949.3,0
27/09/2022,32,20,0,95,61,945.9,0
28/09/2022,33.2,21,0,96,63,945,0
29/09/2022,34,20.8,0,96,56,946.3,0
30/09/2022,34,20,0,91,64,945.1,0
01/10/2022,34,21,0,91,69,944.8,0
02/10/2022,34,17.5,13,95,66,946.9,0
03/10/2022,33.5,18,0,95,58,947.6,0
04/10/2022,33.2,18.5,0,95,51,949.3,4
05/10/2022,33,17,0,90,54,946.9,0
06/10/2022,34,17.3,0,90,57,948.5,6
07/10/2022,32,16.5,2.2,95,48,947.6,0
08/10/2022,31,16,0,85,45,948.1,0
09/10/2022,31,16.5,0,90,41,948.8,6
10/10/2022,32,17.5,0,90,68,951,0
11/10/2022,29,18,0,95,59,948.9,2
12/10/2022,29.2,16,7,95,70,952.1,0
13/10/2022,28.2,15.4,0,95,51,951.6,2
14/10/2022,29,14.5,0,95,48,952.3,0
15/10/2022,30.5,13.5,0,95,47,949.5,0
16/10/2022,31,14.5,0,95,44,952.8,0
17/10/2022,32,15,0,95,49,951.8,0
18/10/2022,31,14,0,90,57,950.9,2
19/10/2022,31,13.5,0,95,59,950,2
20/10/2022,28.3,15,5.6,85,54,954.7,2
21/10/2022,25.2,10.5,0,94,58,956.9,0
22/10/2022,27.2,10,0,94,54,956,0
23/10/2022,29.2,10,0,94,55,955,0
24/10/2022,29.3,10,0,94,54,949.3,0
25/10/2022,29,10.2,0,94,46,948.3,2
26/10/2022,29.2,10.5,0,94,59,952.4,0
27/10/2022,29.2,12.8,0,94,50,952.7,0
28/10/2022,29.2,11,0,94,54,952.6,0
29/10/2022,30,11,0,94,57,952.2,0
30/10/2022,30,12.5,0,94,52,952.6,0
31/10/2022,29.5,13,0,94,67,953.3,2
01/11/2022,27,14,0,90,56,953.2,0
02/11/2022,29.2,12,0,89,51,952.6,0
03/11/2022,30,12.4,0,94,53,951,0
04/11/2022,30,13,0,89,62,952.3,0
05/11/2022,27.2,13.5,0,90,61,954,0
06/11/2022,26,12,14,94,82,955.7,0
07/11/2022,23,13,24,94,74,955.4,0
08/11/2022,22,11,0,94,82,954.3,0
09/11/2022,24,11,0,94,81,956.5,2
10/11/2022,18,9.3,1.6,94,62,958.2,2
11/11/2022,24,8,0,94,51,956,4
12/11/2022,25,6.7,0,93,51,955,0
13/11/2022,25,6.5,0,93,75,953.6,0
14/11/2022,19,8,7,94,100,957.3,0
15/11/2022,14.2,8.5,14,94,69,955.5,0
16/11/2022,22.5,9,0,94,72,954,0
17/11/2022,20,6.8,0,93,49,953.3,0
18/11/2022,24,6.7,0,93,68,954.6,0
19/11/2022,23.5,9,0,94,76,956,0
20/11/2022,21,5.5,0,93,64,953.9,0
21/11/2022,24,5.5,0,93,58,953.6,0
22/11/2022,25,5,0,93,46,953.6,0
23/11/2022,26,4.7,0,93,58,952.2,0
24/11/2022,25,4.7,0,93,59,952.4,0
25/11/2022,26,5.5,0,93,61,956.5,0
26/11/2022,25,5.5,0,93,69,950.8,0
27/11/2022,23.5,5,0,93,73,950.7,0
28/11/2022,24,5,0,93,65,953.6,0
29/11/2022,23.2,6,0,93,65,954,0
30/11/2022,23,5.5,0,93,65,954.9,0
01/12/2022,24,5.3,0,93,55,952.6,0
02/12/2022,23,6,0,93,68,953,0
03/12/2022,22,5.5,0,93,60,954,0
04/12/2022,23,4.5,0,93,56,953.7,0
05/12/2022,24,4.5,0,93,55,956.6,0
06/12/2022,23,4.5,0,92,44,954.7,2
07/12/2022,23.2,3.5,0,92,43,953.2,4
08/12/2022,22.5,3.5,0,92,58,955.4,0
09/12/2022,20.5,5,0,93,64,954.2,0
10/12/2022,21.5,7.5,0,93,63,956.5,0
11/12/2022,22.5,5,0,93,46,955,0
12/12/2022,22,4.5,0,93,56,954,0
13/12/2022,21.5,5,0,93,46,956.8,4
14/12/2022,22,4,0,93,36,954.5,0
15/12/2022,22.5,3.5,0,92,47,952.5,0
16/12/2022,22.5,3.3,0,92,56,951.1,0
17/12/2022,23,3.2,0,92,49,953.3,0
18/12/2022,22.5,3.2,0,92,62,953,0
19/12/2022,22,3.5,0,92,59,952.6,0
20/12/2022,21,3,0,92,47,952.7,0
21/12/2022,21.5,3,0,92,57,954.3,0
22/12/2022,20.2,2,0,92,53,953,0
23/12/2022,20,1.3,0,91,64,952,0
24/12/2022,18,1,0,92,54,954.1,2
25/12/2022,17.5,1,0,91,68,955.3,0
26/12/2022,16,1,0,92,50,956.4,0
27/12/2022,19,1.5,0,92,31,955.2,0
28/12/2022,21.2,1.2,0,92,36,954.8,0
29/12/2022,21.2,1,0,92,82,956.4,0
30/12/2022,14.2,5.5,9.4,93,70,960.7,0
31/12/2022,18.2,2.8,0,92,41,956.2,0
01/01/2023,19,1.5,0,92,53,957.3,0
02/01/2023,19,1,0,92,52,958.7,0
03/01/2023,18.2,1,0,91,34,959.2,2
04/01/2023,19.2,0,0,91,28,960.1,4
05/01/2023,20,0.4,0,91,41,960.9,0
06/01/2023,20.2,0.3,0,91,63,960.9,0
07/01/2023,16.2,1.3,0,93,63,958.7,0
08/01/2023,15,5,0,93,63,957.3,0
09/01/2023,16,5.5,1,93,63,957.4,0
10/01/2023,19.2,4,0,93,48,955.8,4
11/01/2023,22,4.5,0,77,94,952.6,2
12/01/2023,12,5.2,15,93,78,950.7,0
13/01/2023,16,5.5,2.2,93,54,953.2,4
14/01/2023,12.2,1.3,0,91,54,954.6,2
15/01/2023,16.5,1.5,0,92,35,951.6,6
16/01/2023,16.5,0,0,91,39,955.1,2
17/01/2023,17,-0.5,0,91,31,953.6,4
18/01/2023,17.2,-0.5,0,91,47,957,0
19/01/2023,15.2,1.5,0,93,38,957.6,4
20/01/2023,17.5,3,0,92,54,955.5,2
21/01/2023,16.2,3,1,93,52,955.4,4
22/01/2023,16.2,2,0,92,55,955.8,0
23/01/2023,17,2,0,92,57,956.3,4
24/01/2023,16.5,4,1.3,93,77,953,0
25/01/2023,14.5,7,3,93,68,955.5,2
26/01/2023,14,2.5,0.4,92,57,957.7,2
27/01/2023,19,2.5,0,92,35,956.2,2
28/01/2023,21,3,0,92,51,952.3,0
29/01/2023,16,3.5,0,92,53,951.3,0
30/01/2023,18,4.5,19,87,68,958,2
31/01/2023,15.2,3.5,3.2,93,46,958.9,4
01/02/2023,19,3.5,0,92,33,956.6,0
02/02/2023,22.2,4,0,87,50,955.1,0
03/02/2023,18.2,4.8,0,93,48,955,0
04/02/2023,21,6,0,87,39,952.9,4
05/02/2023,24.5,5.5,0,93,48,949.9,0
06/02/2023,22,6.5,6,94,31,953.1,2
07/02/2023,20.5,4.5,2.7,93,39,950.5,2
08/02/2023,22,6,0,93,39,952,4
09/02/2023,21.5,7,1,88,69,949.3,2
10/02/2023,15,7.5,1.8,76,30,951.2,0
11/02/2023,20.2,7.5,0,48,27,954.5,6
12/02/2023,18,0.8,0,83,32,958.8,4
13/02/2023,19,2,0,78,16,954.7,8
14/02/2023,22,4,0,85,32,953.6,0
15/02/2023,24.2,5,0,93,34,951.6,4
16/02/2023,27.2,7.5,0,87,53,953.7,0
17/02/2023,25.2,9,0,88,51,956.1,0
18/02/2023,26,8.3,0,94,30,952.7,0
19/02/2023,27.5,9.2,0,74,42,951.8,4
20/02/2023,26,11.5,0,94,85,950.1,6
21/02/2023,24.2,6.5,4.6,93,24,952.1,6
22/02/2023,27.2,8,0,94,41,952.8,0
23/02/2023,24.2,7.5,0,94,23,951.9,6
24/02/2023,27.5,8,0,82,19,953.4,4
25/02/2023,28,7.5,0,94,28,954.9,0
26/02/2023,26,9.5,0.2,70,45,957.6,0
27/02/2023,25,9.5,1,78,32,956.5,2
28/02/2023,26,10,1,72,70,959.3,0
01/03/2023,19,10.5,0.6,84,58,959.5,0
02/03/2023,22.5,11.5,0,89,72,961.2,4
03/03/2023,21,8.5,1,94,43,958.4,0
04/03/2023,26,10,0,94,33,957.1,2
05/03/2023,26.5,9.2,0,88,29,956.1,4
06/03/2023,27,9.4,0,94,22,953.6,4
07/03/2023,28,9,0,94,23,954.2,2
08/03/2023,30,9.5,0,94,20,954,4
09/03/2023,30,11.2,0,72,25,954.9,6
10/03/2023,29.2,10,0,94,29,953.7,2
11/03/2023,29.2,10,0,88,32,952.6,0
12/03/2023,30,13,0,89,41,953,0
13/03/2023,28.5,11.3,0,88,26,952.2,4
14/03/2023,30,10.8,0,88,24,948.5,4
15/03/2023,31.2,11.5,0,88,41,948.5,2
16/03/2023,30,13.5,11.4,89,80,952.8,0
17/03/2023,17,13.2,11.8,95,72,954.8,2
18/03/2023,18,9.6,1,94,58,951.2,2
19/03/2023,22,11,0.2,94,51,947.5,0
20/03/2023,24.5,10,10,94,45,946.1,0
21/03/2023,26.2,12,26.6,90,52,948,2
22/03/2023,23,11,7,94,48,949,2
23/03/2023,26,12.8,5.8,75,52,949.3,2
24/03/2023,23.2,12,1,94,95,949.1,2
25/03/2023,21,12.4,15,89,76,953.5,0
26/03/2023,18.5,9,6,94,42,951.8,2
27/03/2023,25,10.5,0,94,27,948.8,4
28/03/2023,27,10,0,94,30,948.8,4
29/03/2023,28,11,0,94,49,951.2,0
30/03/2023,23.2,13.2,1,90,90,950,0
31/03/2023,25.2,13,7.9,95,62,947.4,0
01/04/2023,22.2,14,1,95,68,949.8,6
02/04/2023,20,10.5,1,94,44,947,0
03/04/2023,25,15,1,90,50,947.8,2
04/04/2023,23.5,11.5,1,94,38,950.7,2
05/04/2023,25.8,11,0,94,38,949.6,2
06/04/2023,27.2,11.5,1,84,27,954.5,4
07/04/2023,27.2,10,0,88,25,953.6,4
08/04/2023,30,11,0,88,18,954.1,2
09/04/2023,31.2,11.5,0,88,19,952.8,2
10/04/2023,32,12.5,0,89,21,952.7,2
11/04/2023,32.5,13.5,0,84,20,951,4
12/04/2023,32.5,14.5,0,80,27,950.2,2
13/04/2023,33,14.5,0,85,25,947.8,2
14/04/2023,34.2,14.5,0,84,22,947,0
15/04/2023,36,16.5,0,81,28,947.5,0
16/04/2023,36.2,21,0,53,30,947.3,4
17/04/2023,30.5,16.5,0,81,31,947.8,2
18/04/2023,34,18,6,63,50,950.9,0
19/04/2023,28.2,17.5,1,61,53,945.5,0
20/04/2023,26.2,15.5,4.4,95,37,943.6,0
21/04/2023,28,12.5,14.2,94,31,946.5,0
22/04/2023,28.5,14,1,89,30,947.9,0
23/04/2023,28,11,1,83,24,947.5,0
24/04/2023,32.5,13,0,89,25,950,0
25/04/2023,33.2,13.5,0,84,27,951,2
26/04/2023,32.2,16.5,0,77,28,946.2,0
27/04/2023,33,15,0.4,85,33,947.1,0
28/04/2023,33,15.5,11.4,76,40,951,0
29/04/2023,28,14.5,3,95,33,946,0
30/04/2023,33,17.4,0,81,33,943.6,0
01/05/2023,32.5,18.5,0,82,58,946.1,0
02/05/2023,24,16,1,86,55,948.4,2
03/05/2023,25.5,16.5,1,90,46,948.9,0
04/05/2023,28.2,17.5,1.6,86,75,950.2,0
05/05/2023,26,14,0.4,90,40,947.4,0
06/05/2023,30,18,0,82,35,946.8,10
07/05/2023,31.2,16,0,72,34,944.7,2
08/05/2023,30.5,15,3,80,31,946.3,6
09/05/2023,29.2,13,0,95,26,949.3,2
10/05/2023,31,14,0,90,12,946.4,6
11/05/2023,35.2,14,0,71,22,947.7,2
12/05/2023,37.2,14.5,0,76,16,946.4,0
13/05/2023,38,21.5,0,50,30,945.9,0
14/05/2023,35,16,1,80,24,942.7,0
15/05/2023,35,17,0,76,22,943.3,0
16/05/2023,37,18,0,70,32,945.9,0
17/05/2023,33,16,0,73,32,944.4,0
18/05/2023,38,19,7.6,86,32,950.3,2
19/05/2023,34,17.5,0,86,21,944.9,2
20/05/2023,36,16,0,77,13,943,2
21/05/2023,38.5,16.2,0,73,21,945,0
22/05/2023,40.5,20,0,62,38,945.1,0
23/05/2023,40.5,21,0,69,30,945.1,0
24/05/2023,38,18,2,91,35,943.6,0
25/05/2023,34,18,3.3,71,39,944.8,4
26/05/2023,31.2,19,1.8,74,50,947,2
27/05/2023,30,16,1,85,26,945.2,0
28/05/2023,34,19.5,0,66,33,945.5,0
29/05/2023,34,20.5,0,74,78,952.8,4
30/05/2023,33,18.5,2.2,74,38,949.9,0
31/05/2023,31,15.5,3.6,87,91,948.6,4
01/06/2023,23,17,29.8,95,71,948.7,0
02/06/2023,23,15.5,16.2,95,45,946.4,2
03/06/2023,30,17.5,0,95,39,947.6,2
04/06/2023,33,18.5,0,91,31,945.9,2
05/06/2023,35.5,18.5,0,91,27,943.8,0
06/06/2023,36,17.5,0,82,30,943.7,0
07/06/2023,36,21.5,0,76,39,945.4,0
08/06/2023,33,21.3,0,79,36,942.3,0
09/06/2023,37,21.5,0,76,34,939.5,0
10/06/2023,38.5,24.5,0,77,48,937.9,6
11/06/2023,39.5,21.5,3.1,79,32,939,0
12/06/2023,36.5,22.5,0,79,30,938.8,0
13/06/2023,38.5,24.5,0,57,27,938.5,0
14/06/2023,40,21,1,73,28,939.2,2
15/06/2023,38,23,5.3,72,45,942.1,2
16/06/2023,33,22,1,87,48,940.8,0
17/06/2023,35,21,0,84,34,940.5,0
18/06/2023,38.5,25,0,81,35,938.4,0
19/06/2023,39.5,22.5,0,76,32,939.8,2
20/06/2023,39,25,0,81,29,938.6,2
21/06/2023,41,28,0,79,32,938.1,2
22/06/2023,41.5,29,0,76,43,938.7,2
23/06/2023,40.5,30,0,70,46,939.5,4
24/06/2023,40.5,30.5,0,73,45,937,2
25/06/2023,40,24.5,12,92,50,937.9,4
26/06/2023,36,22,58,96,58,943.1,0
27/06/2023,31.2,23,0,92,46,940.2,0
28/06/2023,36,24,2.6,88,50,942.9,0
29/06/2023,34.2,23.5,0.4,88,49,939.8,2
30/06/2023,36,19.5,65.3,95,43,940,0
01/07/2023,33,20.5,0,87,44,939.5,4
02/07/2023,35.5,25.5,0,84,51,938.9,4
03/07/2023,36,27,0,81,77,939.8,8
04/07/2023,38.2,22,9,96,58,938.6,0
05/07/2023,34,23.5,0,84,63,940.5,2
06/07/2023,31.5,24.2,0,84,61,942.1,0
07/07/2023,32,19,23.8,92,69,943.2,0
08/07/2023,30,19,1.6,92,63,942.9,2
09/07/2023,33.5,18,0,96,46,941.7,2
10/07/2023,34,20.5,5,96,40,941.9,2
11/07/2023,34.2,23,0,92,38,940.1,2
12/07/2023,36.2,24.3,0,81,43,939.3,2
13/07/2023,37.2,24.5,0,84,49,941.8,4
14/07/2023,35,25.5,0,84,52,940.5,12
15/07/2023,37.5,22.5,57,96,86,940.2,0
16/07/2023,33,23.5,6,96,67,942.7,4
17/07/2023,33.2,24.5,0,92,47,939.4,4
18/07/2023,37,26,0,92,79,940.8,0
19/07/2023,34,23,98.1,100,92,941.8,0
20/07/2023,28,23.5,8,92,65,940.9,2
21/07/2023,34,26.5,1,92,70,942.6,0
22/07/2023,33,25.5,19,92,81,947.1,4
23/07/2023,32.5,22.5,8.8,96,72,946.5,2
24/07/2023,30,22.5,21.3,96,53,941.3,0
25/07/2023,35.2,23,6.5,100,60,943.3,2
26/07/2023,34,24,0,96,96,942.8,0
27/07/2023,35,23.3,85.6,96,76,941.7,0
28/07/2023,32.2,21.5,29.2,92,70,940.3,2
29/07/2023,31,20.5,75,96,61,941,2
30/07/2023,32.5,22,0,92,58,939.1,0
31/07/2023,35,25.5,0,92,78,939,4
01/08/2023,36,24,1,92,54,937.5,0
02/08/2023,36.2,26,0,92,64,936.8,4
03/08/2023,37.5,25,0,81,55,938.9,0
04/08/2023,35.2,25.5,0,77,72,941.7,4
05/08/2023,37,23,24,96,67,941.5,0
06/08/2023,32,23.5,5.6,96,65,936.5,0
07/08/2023,34,21,21,96,57,936.8,2
08/08/2023,34,24.5,0,92,56,938.3,2
09/08/2023,36,25,0,96,62,941.6,2
10/08/2023,35.2,26.5,0,92,56,942.3,0
11/08/2023,33.5,22.5,49.6,96,58,942.5,0
12/08/2023,35.5,26,0,92,52,939.8,0
13/08/2023,37,27,0,92,52,936.4,0
14/08/2023,38,27.5,0,92,96,945.1,2
15/08/2023,34,21.5,48.5,96,60,943.7,0
16/08/2023,34,25,1,92,63,943.2,2
17/08/2023,36,25.3,0,92,64,943.3,2
18/08/2023,32,20.5,39.2,96,65,943.4,0
19/08/2023,34.5,25,0,96,58,943.8,0
20/08/2023,36.5,26,0,88,56,943.2,0
21/08/2023,37,26,0,92,49,941.3,2
22/08/2023,37.2,26.5,0,92,59,938.9,2
23/08/2023,38,27,0,89,64,937.4,2
24/08/2023,37,22,17.4,96,64,938.4,2
25/08/2023,32.2,21.5,2.4,96,67,939.5,0
26/08/2023,33,22.5,2,88,63,942.1,0
27/08/2023,32,22.5,0,96,49,939.3,2
28/08/2023,34.5,19.5,7.1,95,54,941,0
29/08/2023,33.5,22.5,0,96,49,943.3,0
30/08/2023,35,22,0,96,52,945.8,0
31/08/2023,36.2,23,0,92,58,945.9,0
01/09/2023,35.2,25,0,92,61,945.3,0
02/09/2023,37,25.5,0,96,63,944,0
03/09/2023,36,24,1,92,58,942.7,0
04/09/2023,35.5,24,0,88,56,942.2,0
05/09/2023,37.2,19.5,38.5,96,55,945.3,0
06/09/2023,32.2,21,0,96,55,944.5,0
07/09/2023,35.2,22,0,87,46,944.1,2
08/09/2023,36.2,21.8,0,83,51,943,0
09/09/2023,36.5,21.3,29,88,65,941.5,0
10/09/2023,35.5,21.5,19,96,65,939.6,0
11/09/2023,35.5,23,0,92,68,940.7,0
12/09/2023,36,26,0,92,61,942.4,0
13/09/2023,36.8,25.7,0,96,63,941.5,0
14/09/2023,37,26,0,92,63,943.1,0
15/09/2023,37,24.5,0,89,63,943.9,0
16/09/2023,37.2,20.8,53,96,64,943.9,0
17/09/2023,33.5,20.8,14,96,67,943.5,0
18/09/2023,33,22,0,96,72,945.5,2
19/09/2023,30,21.5,0,96,64,947.4,2
20/09/2023,32,22,0,96,57,944.8,2
21/09/2023,34,21.4,0,96,63,944.8,0
22/09/2023,34.2,19.5,42,87,66,944.7,0
23/09/2023,30.5,19,26.2,95,62,947.5,0
24/09/2023,30.5,19,0,95,69,945.7,0
25/09/2023,31.5,17.5,9,95,57,948.4,2
26/09/2023,31,19,0,95,47,948.6,0
27/09/2023,33,17,0,95,51,947.4,2
28/09/2023,33,16,0,85,69,946.4,0
29/09/2023,33.2,15.5,2.8,69,42,947.9,10
30/09/2023,30,14.5,1,95,45,948.8,2
01/10/2023,32,14.5,0,95,44,946.1,0
02/10/2023,32,13.5,0,95,52,948.2,0
03/10/2023,32,15,0,95,36,947.4,2
04/10/2023,33,14.5,0,90,54,948.2,0
05/10/2023,33.2,14,0,95,50,947.1,0
06/10/2023,34,14.5,0,95,58,945.7,0
07/10/2023,34,18.4,0,91,63,947.1,0
08/10/2023,32.5,19,0,91,46,947.1,2
09/10/2023,33,18,0,91,71,949.4,4
10/10/2023,32.2,13.5,24,95,49,952.5,2
11/10/2023,30,14.5,0,95,61,950.9,0
12/10/2023,30,14.2,0,95,59,952.1,0
13/10/2023,30.5,16.2,0,95,62,950.9,0
14/10/2023,31,18.3,1.8,74,79,952.1,0
15/10/2023,23,14.5,1,95,66,950,0
16/10/2023,28,16.5,1,73,100,953,0
17/10/2023,22,13.5,9.1,95,77,958.1,0
18/10/2023,19.2,9.6,0,94,58,955.2,0
19/10/2023,25.2,11,0,94,56,953.5,0
20/10/2023,27.8,11,0,94,66,954.2,0
21/10/2023,28.5,12.3,0,94,66,954.6,0
22/10/2023,27.5,15.2,1,86,66,956.2,0
23/10/2023,23,11,1,94,63,953.2,0
24/10/2023,28,12,0,94,60,953.3,0
25/10/2023,30,11,0,94,54,954.3,0
26/10/2023,30.2,10.5,0,94,72,953.8,0
27/10/2023,30,11,0,94,66,952,0
28/10/2023,29.5,11.5,0,94,60,953.6,0
29/10/2023,29.5,13,0,94,70,953.8,0
30/10/2023,29,14.5,0,95,77,954.1,2
31/10/2023,29.2,15,0,95,69,955.4,0
01/11/2023,29,15,0,95,73,956.1,0
02/11/2023,29,12.5,1,95,69,955.2,0
03/11/2023,28.2,11.2,0,94,55,950.9,0
04/11/2023,29.2,11,0,94,58,952,0
05/11/2023,28.5,8,0,94,57,953.1,0
06/11/2023,28,10.5,0,94,68,955.5,2
07/11/2023,27.2,11,0,94,70,954,0
08/11/2023,25.2,11,0,94,68,953.1,0
09/11/2023,27,11.5,0,94,81,953,2
10/11/2023,26,11,43.9,94,73,957.6,0
11/11/2023,21.2,8.5,0,94,60,957.4,0
12/11/2023,25,9,0,94,67,956.1,0
13/11/2023,25.5,9,0,94,70,956.4,0
14/11/2023,25,9,0,94,74,956.5,0
15/11/2023,26,8.5,0,94,67,955.4,0
16/11/2023,26.2,7.7,0,94,70,959,0
17/11/2023,26.2,7.5,0,94,61,957.1,0
18/11/2023,25,9,0,94,74,955.5,0
19/11/2023,23,8.5,0,94,69,956.9,0
20/11/2023,25,7,0,93,61,957,0
21/11/2023,25,7,0,93,57,954.7,0
22/11/2023,24.5,6.5,0,93,69,951.7,0
23/11/2023,24,5.3,0,93,73,954.3,0
24/11/2023,22.5,5.6,Trace,93,61,955.6,0
25/11/2023,25,7,0,93,81,955.6,0
26/11/2023,23,8,0,93,73,957.5,0
27/11/2023,23.5,9,0,94,54,956.2,2
28/11/2023,24,9,0,94,50,954.4,0
29/11/2023,24.9,8,0,93,69,954.8,0
30/11/2023,22.5,8.5,0,94,80,958.5,2
01/12/2023,19.2,7,0.8,93,60,955.6,0
02/12/2023,23,6,0,93,69,956.6,0
03/12/2023,23.5,7,0,93,76,956.4,0
04/12/2023,22,4.5,0,93,64,955.7,0
05/12/2023,23,4.5,0,93,64,954.6,0
06/12/2023,23,4,0,92,60,956.6,0
07/12/2023,22.5,3.7,0,93,63,954.5,0
08/12/2023,23.2,4,0,92,59,954.6,0
09/12/2023,22.2,3.5,0,92,71,954.7,0
10/12/2023,21.5,3,0,92,45,951.2,2
11/12/2023,22,3,0,92,70,952.8,0
12/12/2023,19.2,3.5,0,92,70,953.3,0
13/12/2023,20,3,0,92,57,955.2,0
14/12/2023,20.2,2.5,0,92,65,955.1,0
15/12/2023,20.2,2.2,0,92,56,956.6,0
16/12/2023,20,4.2,0,93,74,955.3,0
17/12/2023,16.5,3,0,92,52,956.7,0
18/12/2023,20,2.5,0,92,41,958,2
19/12/2023,21.2,2,0,92,53,957.9,2
20/12/2023,22.2,2,0,92,58,956.1,0
21/12/2023,21.2,2,0,92,63,954.1,0
22/12/2023,21.2,2.5,0,92,61,955.3,0
23/12/2023,20,3.8,1,83,49,958.7,0
24/12/2023,24.5,6,0,93,80,960.2,0
25/12/2023,20,3.5,0,92,34,956,2
26/12/2023,24,3.5,0,92,67,956.9,0
27/12/2023,22.5,3.8,0,92,63,958.5,0
28/12/2023,22,3,0,92,63,955.3,0
29/12/2023,21.2,2.8,0,92,62,958.7,0
30/12/2023,21,4.2,0,93,54,955.9,0
31/12/2023,21.5,3.5,0,92,71,955.5,0
