Date,T2M,temperature_2m_min (°C),rain_sum (mm),humidity at 000 utc %,humidity at 000 utc %,pressure at 1200 utc%,windspeed at 1200utc%
07/04/2021,29,10.5,9.6,94,25,954.1,8
08/04/2021,26.6,9.3,0,81,24,948.8,2
09/04/2021,28.2,9.6,0,82,27,950.5,0
10/04/2021,31,14,0,74,28,951.7,2
11/04/2021,31.5,15,0,54,34,951.5,4
12/04/2021,30.5,14,0,84,27,952.4,2
13/04/2021,32,16,0,80,28,950.3,4
14/04/2021,31.8,16.3,0,65,33,949,0
15/04/2021,32.5,16.5,5.5,61,52,950.8,2
16/04/2021,25.2,16.1,2.5,90,78,948.8,0
17/04/2021,25,16,0,85,52,950.7,2
18/04/2021,23.5,14.5,12,90,57,952.1,0
19/04/2021,25.5,11,0,94,24,947.7,0
20/04/2021,29.9,13,0,84,47,946.3,0
21/04/2021,26.4,14.5,0,90,48,948.2,2
22/04/2021,28,15,0,95,94,950.4,2
23/04/2021,26.1,11,20.4,94,41,949.2,0
24/04/2021,26.5,11.5,0,94,31,950.6,0
25/04/2021,31,12.5,0,94,25,948.3,0
26/04/2021,35,14,0,89,24,946.6,2
27/04/2021,35.5,14,0,90,33,946.9,0
28/04/2021,37,16.5,0,85,28,947.2,2
29/04/2021,38,17.5,0,77,28,947.5,0
30/04/2021,38,16.5,0,77,30,945.5,0
01/05/2021,37.5,18,0,77,29,945.8,0
02/05/2021,37.5,20.5,0,70,32,945.4,2
03/05/2021,37.5,20.5,0,70,41,944,0
04/05/2021,37,20.5,0,74,63,945.4,0
05/05/2021,31.5,19.5,0,87,39,946.8,0
06/05/2021,32,18,0,82,37,947.8,2
07/05/2021,33,17.3,0,81,37,948.9,0
08/05/2021,34.5,19,0,78,41,947.4,2
09/05/2021,34,21,0,78,49,945.5,0
10/05/2021,31,19.5,0,86,34,942.2,0
11/05/2021,35,18,32,86,40,944.3,2
12/05/2021,30,18,0,91,45,939.5,6
13/05/2021,34,17,0,73,47,944.4,2
14/05/2021,29,17.5,0,86,51,943.4,0
15/05/2021,30.5,17,4,95,34,945.5,2
16/05/2021,31.5,17.5,0,82,33,947.1,2
17/05/2021,34,19,0,73,27,946.6,4
18/05/2021,34.5,18,0,82,27,943.6,0
19/05/2021,37.3,20,0,66,19,940.8,2
20/05/2021,35.7,21.5,0,83,40,939,2
21/05/2021,35,16,2,80,28,944,0
22/05/2021,34.5,18.5,0,81,47,943.7,6
23/05/2021,35.5,19,3.8,86,38,946.6,4
24/05/2021,31,17.5,0,82,24,945.9,2
25/05/2021,34.5,17,0,85,10,942.6,4
26/05/2021,36,16.5,0,71,13,939.9,4
27/05/2021,38.5,17.5,0,68,13,940.7,2
28/05/2021,40.5,18.5,0,65,13,940.5,0
29/05/2021,41,21,0,70,20,940.5,0
30/05/2021,41.5,21,0,83,29,941.7,0
31/05/2021,37.5,24,0,69,64,942.6,10
01/06/2021,37.5,18.7,14,82,35,943.3,0
02/06/2021,33.4,21,0,79,32,942.3,0
03/06/2021,36.3,19,28,91,48,946.9,0
04/06/2021,29.5,19,0,87,41,944.1,2
05/06/2021,35.5,25,0,81,39,943.8,4
06/06/2021,36.5,25,2,70,42,941.9,0
07/06/2021,37,26,0,77,35,940.7,2
08/06/2021,39.5,25.7,0,77,25,937.4,0
09/06/2021,42.2,25,0,81,23,935.3,2
10/06/2021,43,27.5,0,71,23,934.3,0
11/06/2021,44.5,28.5,0,60,39,934.8,0
12/06/2021,40,23,0,62,31,937.4,0
13/06/2021,39.5,19,21,58,43,940.1,0
14/06/2021,34,24,0,92,35,937.1,0
15/06/2021,35.7,18,20,91,35,934.1,0
16/06/2021,35.8,20.5,1.6,91,78,942,0
17/06/2021,31.3,18.5,4,91,36,940.7,4
18/06/2021,34,20.5,0,83,21,939.3,0
19/06/2021,37.5,19.5,0,78,27,938.5,0
20/06/2021,39,24.5,0,60,34,940.4,6
21/06/2021,35.5,21.5,0,75,30,942,0
22/06/2021,38.5,21,0,74,17,940.9,2
23/06/2021,39,21,0,71,21,940.1,2
24/06/2021,41,21.5,3.6,79,26,941.2,2
25/06/2021,38,23,0,68,33,937.9,0
26/06/2021,38.5,18.5,28.5,86,34,944,0
27/06/2021,34.5,22.5,0,83,28,944.7,0
28/06/2021,38,22.5,0,79,20,942.5,4
29/06/2021,39.5,23,0,68,18,938.8,4
30/06/2021,41.2,23.5,0,69,20,934.9,2
01/07/2021,43.5,25,0,70,27,933.5,0
02/07/2021,42.5,24,0,62,27,936.4,0
03/07/2021,40.5,20,7.7,83,33,940,4
04/07/2021,36,24.5,0,76,30,940.3,4
05/07/2021,39,22.5,3,83,39,942.4,0
06/07/2021,36,23.5,0,84,27,939.3,0
07/07/2021,40,24.5,0,73,31,939.4,2
08/07/2021,42,25,0,73,35,938.1,2
09/07/2021,40.5,29,0,59,45,939.6,6
10/07/2021,39,28.5,0,69,61,940.5,0
11/07/2021,34.5,23,52,89,54,940.2,0
12/07/2021,36.5,23,6,92,65,943.5,2
13/07/2021,31.5,22,20,96,56,942.8,0
14/07/2021,33.5,22,4.2,96,66,942.7,0
15/07/2021,32.7,22.5,1.2,92,46,943.2,0
16/07/2021,36,24,0,88,54,943.3,0
17/07/2021,37,27,0,85,49,940.4,0
18/07/2021,39,28.5,0,85,53,935.6,2
19/07/2021,38,23,30,96,76,937.9,0
20/07/2021,30.5,23,44.6,96,69,938.5,2
21/07/2021,30,22,38.2,96,65,937.7,2
22/07/2021,32,22.5,0,92,47,936.4,2
23/07/2021,34.5,25,0,88,49,939.3,0
24/07/2021,37.5,26,0,88,39,940.3,0
25/07/2021,37.5,28,0,89,46,936.6,2
26/07/2021,37.5,28.5,0,92,92,937.5,2
27/07/2021,30.5,25,12,96,89,934.1,0
28/07/2021,28.5,23,71.6,100,82,938.2,2
29/07/2021,29.7,23,5,92,69,937.1,2
30/07/2021,31.5,24.5,0,88,64,939,2
31/07/2021,32,24,3,92,72,941,2
01/08/2021,31.5,23.5,1,92,48,936.9,0
02/08/2021,35,23,5,87,58,938.3,0
